yy,flag,eez,days,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt
1993,US,TV,225.540,125460,125.460,2663946,2663.946,589628,589.628
1993,US,WF,3.957,0,0,0,0,0,0
1993,US,WS,25.719,0,0,17435,17.435,0,0
1994,AU,AU,69,0,0,3219000,3219,0,0
1994,FM,AS,2,0,0,0,0,0,0
1994,FM,FM,462.993,406844,406.844,4124498,4124.498,1757009,1757.009
1994,FM,GL,144.998,159902,159.902,2030962,2030.962,549806,549.806
1994,FM,H4,19,15558,15.558,307953,307.953,510749,510.749
1994,FM,H5,24,3136,3.136,248047,248.047,94825,94.825
1994,FM,HB,3,515,0.515,2231,2.231,1809,1.809
1994,FM,I1,8,7399,7.399,30174,30.174,22985,22.985
1994,FM,I2,498.992,443916,443.916,4405698,4405.698,1855453,1855.453
1994,FM,I4,3,349,0.349,3254,3.254,795,0.795
1994,FM,I5,6,0,0,0,0,0,0
1994,FM,JV,2,0,0,0,0,0,0
1994,FM,MH,1,950,0.950,36950,36.950,16443,16.443
1994,FM,NR,11,604,0.604,6021,6.021,2172,2.172
1994,FM,PG,23,24968,24.968,358887,358.887,138492,138.492
1994,FM,PX,100.998,29866,29.866,2281043,2281.043,868737,868.737
1994,FM,SB,1,0,0,0,0,0,0
1994,ID,ID,0,1163000,1163,28929000,28929,8691000,8691
1994,JP,FM,2879.654,87999.976,88,57819999.398,57819.999,19879999.819,19880
1994,JP,GL,313.848,3999.990,4,6747000.240,6747,680999.894,681
1994,JP,I1,309.989,1026682.779,1026.683,4994278.978,4994.279,1374984.274,1374.984
1994,JP,I2,1783.171,7177627.515,7177.628,41298178.857,41298.179,11496274.977,11496.275
1994,JP,I3,5.366,17426.587,17.427,80097.257,80.097,10603.934,10.604
1994,JP,I4,5.366,31363.032,31.363,88041.284,88.041,22736.779,22.737
1994,JP,I6,1200.421,149899.982,149.900,15249204.731,15249.205,607601.104,607.601
1994,JP,JP,941.953,809000.030,809,19498198.662,19498.199,1656798.931,1656.799
1994,JP,MH,97.823,9000.025,9,2977999.863,2978,308000.192,308
1994,JP,NR,284.297,3999.990,4,6020000.729,6020.001,1131999.998,1132
1994,JP,PW,143.677,0,0,3585000,3585,1028000.097,1028
1994,KI,FM,57.935,53903,53.903,844194,844.194,200283,200.283
1994,KI,PG,12.595,2016,2.016,18251,18.251,4353,4.353
1994,KR,FM,2810.796,2455113,2455.113,39628004,39628.004,15233807,15233.807
1994,KR,GL,946.566,891038,891.038,21358741,21358.741,5036635,5036.635
1994,KR,H4,23.122,27287,27.287,647388,647.388,140578,140.578
1994,KR,I1,212.435,135017,135.017,2062968,2062.968,544372,544.372
1994,KR,I2,1635.898,1266463,1266.463,23269612,23269.612,7510876,7510.876
1994,KR,I3,1.445,0,0,0,0,0,0
1994,KR,I4,10.116,33061,33.061,354460,354.460,400830,400.830
1994,KR,NR,10.116,0,0,0,0,0,0
1994,KR,PG,2852.705,2667845,2667.845,44623178,44623.178,19265338,19265.338
1994,KR,PX,145.959,176814,176.814,2839651,2839.651,1365550,1365.550
1994,KR,SB,130.062,118142,118.142,2143807,2143.807,796425,796.425
1994,NZ,NZ,117.609,0,0,3088000,3088,0,0
1994,PG,FM,52.409,3732,3.732,150952,150.952,45962,45.962
1994,PG,GU,1.008,0,0,0,0,0,0
1994,PG,I2,1.008,224,0.224,28971,28.971,2836,2.836
1994,PG,I3,5.039,0,0,0,0,0,0
1994,PG,PG,196.535,29333,29.333,744005,744.005,343985,343.985
1994,PG,PH,3,0,0,0,0,0,0
1994,PH,I1,35.460,61656,61.656,480000,480,127561,127.561
1994,PH,PG,1696.170,823169,823.169,10247418,10247.418,7919214,7919.214
1994,PH,PH,0,1547000,1547,55745000,55745,13919000,13919
1994,SB,GL,14,4043,4.043,231297,231.297,77652,77.652
1994,SB,I2,7,1482,1.482,100390,100.390,33905,33.905
1994,SB,SB,368,252532,252.532,6396773,6396.773,5669926,5669.926
1994,SU,GL,0,297000,297,4862000,4862,1563000,1563
1994,TW,FM,2840.639,2744235,2744.235,37607125,37607.125,14513535,14513.535
1994,TW,GL,18.853,15906,15.906,316593,316.593,80922,80.922
1994,TW,I1,2238.365,2863615,2863.615,31778526,31778.526,10045934,10045.934
1994,TW,I2,330.989,375557,375.557,4924894,4924.894,1790207,1790.207
1994,TW,I3,13.617,0,0,0,0,0,0
1994,TW,I6,3.104,0,0,0,0,0,0
1994,TW,ID,54.841,28988,28.988,540741,540.741,307771,307.771
1994,TW,MH,10.474,6173,6.173,223508,223.508,32338,32.338
1994,TW,NR,7.332,19076,19.076,135874,135.874,82835,82.835
1994,TW,PG,3307.794,3729362,3729.362,49875186,49875.186,17151938,17151.938
1994,TW,PH,14.486,0,0,0,0,0,0
1994,TW,PW,14.664,2871,2.871,68670,68.670,38372,38.372
1994,TW,SB,10.474,13705,13.705,189300,189.300,55145,55.145
1994,US,AS,24.003,0,0,33289,33.289,0,0
1994,US,CK,27.003,0,0,622950,622.950,0,0
1994,US,FJ,229.029,100500,100.500,5733195,5733.195,1300534,1300.534
1994,US,FM,355.044,319065,319.065,5982154,5982.154,1837157,1837.157
