yy,flag,eez,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1992,TW,I1,0,0,1190398.977,1190.399,0,0,1175357.400,1175.357,0,0
1992,TW,I3,0,0,510170.990,510.171,0,0,503724.600,503.725,0,0
1992,TW,I4,0,0,917284,917.284,73952,73.952,591239,591.239,0,0
1992,TW,I5,0,0,917284,917.284,73952,73.952,591239,591.239,0,0
1992,TW,I6,151000,151,325500,325.500,20400,20.400,3045300,3045.300,0,0
1992,TW,I7,19145813.200,19145.813,0,0,0,0,0,0,0,0
1992,TW,I8,37314,37.314,805,0.805,0,0,5075,5.075,0,0
1992,TW,I9,12205,12.205,1923,1.923,20,0.020,1743,1.743,0,0
1992,TW,ID,0,0,30917,30.917,0,0,14946,14.946,0,0
1992,TW,MH,0,0,16453,16.453,0,0,4179,4.179,0,0
1992,TW,NU,5195,5.195,202,0.202,0,0,60,0.060,0,0
1992,TW,PH,0,0,217865,217.865,13600,13.600,2033270,2033.270,0,0
1992,TW,PW,0,0,523696,523.696,0,0,378149,378.149,0,0
1992,TW,SB,21657,21.657,2858,2.858,12,0.012,4100,4.100,0,0
1992,TW,TW,151000,151,542500,542.500,34000,34,5075500,5075.500,0,0
1992,TW,VU,493011,493.011,20573,20.573,60,0.060,91033,91.033,0,0
1992,US,HW,69484.287,69.484,875479.479,875.479,0,0,233583.027,233.583,0,0
1992,US,I5,18295.268,18.295,146082.520,146.083,0,0,26664.156,26.664,0,0
1992,US,I6,244202.301,244.202,461070.085,461.070,0,0,97610.911,97.611,0,0
1992,US,PY,18.144,0.018,7367.916,7.368,0,0,4141.906,4.142,0,0
1993,AU,AU,310718.120,310.718,23342.869,23.343,5000,5,781135.082,781.135,0,0
1993,AU,I7,1281.880,1.282,1657.131,1.657,0,0,864.918,0.865,0,0
1993,CN,FM,670,0.670,1682462,1682.462,0,0,1186620,1186.620,0,0
