"","eez","Dist"
"621","Tokelau",107495.657567515
"622","Phoenix Group",78030.9790760024
"623","Papua New Guinea",102120.674270603
"624","Palau",6894.38939218993
"625","Johnston Atoll",179755.385503987
"626","Micronesia",26074.4539643304
"627","Johnston Atoll",158995.609290238
"628","Hawaii",8830.64907191795
"629","Japan",78243.4261717014
"630","Palmyra Atoll",108333.402517239
"631","Howland and Baker islands",32567.4627533271
"632","Papua New Guinea",131048.697389318
"633","French Polynesia",31387.6231389118
"634","Northern Mariana Islands",63952.5289666879
"635","Line Group",72111.3602305405
"636","Tuvalu",13141.3231666401
"637","Marshall Islands",9992.40517361618
"638","Howland and Baker islands",16068.5274270336
"639","Hawaii",61647.3336597244
"640","Johnston Atoll",147866.324443135
"641","Palmyra Atoll",59516.7939512918
"642","Japan",40399.6037528045
"643","Solomon Islands",47922.9117535718
"644","Nauru",84496.2325879812
"645","Palmyra Atoll",123190.620742796
"646","Nauru",129355.410152222
"647","Line Group",113776.005336468
"648","French Polynesia",160194.556923673
"649","Marshall Islands",83865.8565046207
"650","Micronesia",125420.216575057
"651","French Polynesia",135125.130589976
"652","Jarvis Island",53346.4324960692
"653","Jarvis Island",68711.6839167689
"654","Japan",149834.724182304
"655","Northern Mariana Islands",14896.9797428401
"656","Philippines",6383.569969136
"657","Johnston Atoll",72169.5944844432
"658","Line Group",93070.4361793249
"659","Phoenix Group",73685.977884015
"660","French Polynesia",100693.532028599
"661","Palmyra Atoll",117354.374476076
"662","Micronesia",162641.819569046
"663","Marshall Islands",11748.8729861283
"664","Phoenix Group",41485.0564493848
"665","Line Group",30189.6847136711
"666","Philippines",92852.705839194
"667","Gilbert Islands",161905.728898788
"668","Philippines",166148.061867873
"669","French Polynesia",18859.7839087995
"670","Solomon Islands",127622.032541034
"671","Line Group",21559.1226283254
"672","French Polynesia",80752.5752836917
"673","French Polynesia",42662.9431618064
"674","Phoenix Group",41974.5753750438
"675","Hawaii",151310.898294973
"676","Cook Islands",20713.5359255448
"677","Northern Mariana Islands",75072.5767175404
